review,score,label
pelayanannya sangat baik,5,positif
udah mantap sekarang...,5,positif
JUJUR IKLAN LO GANGGU BGTT,1,negatif
"aplikasinya bagus,, sangat membantu belanja juga enak dan gampang,, tapi sayang, sekarang pengirimannya makin lama dan suka telat sampainya meskipun sudah reguler.",5,positif
"belanja di aplikasi ini, super praktis dan membantu banget si, nga punya iklan juga, jadi kalo belanja di sini pasti seru, karna aplikasi nya menarik banget",5,positif
sangat membantu... barang ga sesuai gampang di kembalikan..hampir tiap hari aku lihat di sopee.. murah2...,5,positif
"pliss lahh shopee pdhl apk nya udh bagus bgtt membantu bgtt tapi Napa sihh tiba2 buka apk lain trs iklan shopee dan tiba2 lngsung masuk shopee lah atau link toko lahh pliss ini mohon buat perbaikan ya bikin jengkel sumpill, ga niat buka malah kebuka2 sendiri mana kalo mau keluar juga rada2 lemott tolong ini perlu diperhatikan ya makasihh",1,negatif
maaf kakak kasih 2 yaa sekarang Voucher buat COD udah gak ada setiap ganti mode pembayaran voucher hilang auto gak jadi beli di shoppe karena hitungan nya jadi lebih mahal.. padahal mau COd atau pun yang lain selalu banyak Voucher.. Takut pada beralih ke tempat lain karena udah gak ada voucher,2,negatif
"kak maaf kenapa saya TDK bisa co yaah di aplikasi shopee y , mohon pencerahannya kak .",5,positif
Bagus,5,positif
suka bnget sama shoope,5,positif
paylater nya cepet banget,5,positif
sangat membantu saya semoga dapat diskon menarik dari shopee ini😉🙏,5,positif
sumpah bagus banget niehhh aplikasii bisa beli belanja online dateng nya cepet banget lagi cuma seharian doang pagi nya dateng sumpah bagus bangett shopee nii🤞,5,positif
pokoknya TOP BGT,5,positif
"sekarang pengiriman nya lambat, estimasi tanggal 18 sampai 20 belum juga sampai, buruk pengiriman ya",4,positif
aplikasi asu setiap main game buka aplikasi lain iklannya ganggu bngt ngga shopee pdhl tau tau buka aplikasi shopee sendiri ganggu bngt najis,1,negatif
"TOLONG TRAFIC AFFILIATTE YANG BERASAL DARI X DAN TELEGRAM ITU DI BLOKIR,KARNA BANYAK AFFILIATTE YANG MENYISIPKAN LING AFFILIATTE DENGN LINK PORNOGRAFI DARI PLATFORM VIDEO SHARING SEPERTI DOODSTREAM DLL YANG MEREKA SHARE DI X DAN TELEGRAM. HARGAILAH AFFILIATTE YANG BERMAIN JUJUR YG SUSAH PAYAH MEMBUAT KONTEN",1,negatif
jualan di shope.knp.ya produk sering ke hapus2 sendiri dan mending aplnya jgan d perbarui deh bagus2 thun2 kmren.,1,negatif
ok,5,positif
"sukaaa banget belanja di shoppe, harga murah, dan ongkir ga begitu mahal ✨",5,positif
"shope harus menangani, iklan produk dan yg dikirim harus sama, kebanyakan orang kecewa dan retur krna tidak sesuai dgn iklan, biar GK kalah sama toko sebelah.",1,negatif
"mohon maaf untuk Shopee food jika ada orderan fiktif tolong jgn terlalu ribet deh cara menggantikan uang orderannya , kenapa sih harus ribet banget harus jelas ini itunya, kan saya bingung 😕❓ pliiis jangan gitu lagi ya Shopee",3,netral
balanja jadi lebih mudah dan murah,5,positif
oke,4,positif
Sampai saat ini shopee masih belum mengecewakan.,5,positif
the best,5,positif
Semua pelayanan bagus,5,positif
mantapp,5,positif
puas belanja di Shopee sesuai dan sesuai.,5,positif
ini aplikasi makin lama makin berat udah kek buka benchmark,3,netral
selama ini dimudahkan,5,positif
good,5,positif
"memuaskan, terutama saat pengembalian paket yg salah/tidak sesuai, uangnya mudah masuk ke shopeepay",5,positif
sangat puas,5,positif
bagus,5,positif
bagus banget shoope cari barang apa saja.,5,positif
Saya beli yang di vedo cat kayu dan besi. tapi pesanan yang di kirim pipa besi ulir.saya sangat kecewa.,3,netral
Pokoke JOSS,5,positif
